review_id,order_id,customer_id,rating,review_text,review_date
REV00001,ORD00751,CUST0233,2,"Not As Described, Very Disappointed.",06-01-2024
REV00002,ORD00622,CUST0211,3,"Great Product, Very Satisfied!",16-12-2024
REV00003,ORD00822,CUST0076,3,,2024-09-29
REV00004,ORD00549,CUST0243,3,"Great Product, Very Satisfied!",14-01-2023
REV00005,ORD00424,CUST0265,4,"Loved It, Will Buy Again.",12-07-2024
REV00006,ORD00262,CUST0278,1,,07-22-2024
REV00007,ORD00491,CUST0238,3,"Great Product, Very Satisfied!",09-06-2023
REV00008,ORD00570,CUST0147,1,,10-19-2023
REV00009,ORD00439,CUST0197,5,Good Value For Money.,2024-10-05
REV00010,ORD00811,CUST0254,3,Excellent Quality And Fast Delivery.,12-12-2023
REV00011,ORD00527,CUST0267,1,Product Was Damaged On Arrival.,06-25-2024
REV00012,ORD00691,CUST0036,1,Delivery Was Late And Packaging Was Bad.,27-02-2023
REV00013,ORD00432,CUST0233,2,Product Was Damaged On Arrival.,2023-01-29
REV00014,ORD00130,CUST0088,2,"Not As Described, Very Disappointed.",09-02-2024
REV00015,ORD00220,CUST0113,2,Delivery Was Late And Packaging Was Bad.,07-22-2023
REV00016,ORD00475,CUST0154,4,Excellent Quality And Fast Delivery.,2024-07-27
REV00017,ORD00389,CUST0161,3,Excellent Quality And Fast Delivery.,20-11-2024
REV00018,ORD00061,CUST0098,4,"Loved It, Will Buy Again.",16-01-2023
REV00019,ORD00010,CUST0079,2,"Poor Quality, Waste Of Money.",08-07-2023
REV00020,ORD00513,CUST0057,1,"Not As Described, Very Disappointed.",2024-08-22
REV00021,ORD00539,CUST0274,2,,12-27-2023
REV00022,ORD00276,CUST0278,4,"Loved It, Will Buy Again.",29-03-2024
REV00023,ORD00320,CUST0053,1,Delivery Was Late And Packaging Was Bad.,14-08-2024
REV00024,ORD00468,CUST0222,5,Excellent Quality And Fast Delivery.,04-29-2023
REV00025,ORD00266,CUST0123,4,Excellent Quality And Fast Delivery.,10-01-2023
REV00026,ORD00025,CUST0108,4,Good Value For Money.,26-10-2024
REV00027,ORD00524,CUST0006,4,Good Value For Money.,2024-12-12
REV00028,ORD00768,CUST0177,1,,2023-10-27
REV00029,ORD00237,CUST0129,,"Great Product, Very Satisfied!",2024-03-11
REV00030,ORD00449,CUST0252,3,Good Value For Money.,14-04-2023
REV00031,ORD00841,CUST0279,3,"Loved It, Will Buy Again.",07-17-2024
REV00032,ORD00674,CUST0108,2,Delivery Was Late And Packaging Was Bad.,14-11-2024
REV00033,ORD00571,CUST0079,1,"Poor Quality, Waste Of Money.",2023-11-30
REV00034,ORD00091,CUST0120,3,Good Value For Money.,06-09-2023
REV00035,ORD00579,CUST0052,5,,06-05-2023
REV00036,ORD00113,CUST0049,5,Excellent Quality And Fast Delivery.,24-04-2023
REV00037,ORD00586,CUST0274,5,"Great Product, Very Satisfied!",2023-12-04
REV00038,ORD00034,CUST0096,1,"Not As Described, Very Disappointed.",2024-05-24
REV00039,ORD00503,CUST0200,4,Good Value For Money.,2024-10-16
REV00040,ORD00299,CUST0219,2,"Not As Described, Very Disappointed.",07-06-2023
REV00041,ORD00635,CUST0244,4,"Loved It, Will Buy Again.",14-01-2024
REV00042,ORD00581,CUST0073,5,"Loved It, Will Buy Again.",03-08-2023
REV00043,ORD00134,CUST0175,3,"Great Product, Very Satisfied!",05-27-2024
REV00044,ORD00088,CUST0148,1,"Poor Quality, Waste Of Money.",10-29-2024
REV00045,ORD00448,CUST0136,5,Excellent Quality And Fast Delivery.,2023-08-10
REV00046,ORD00308,CUST0149,5,Good Value For Money.,17-01-2023
REV00047,ORD00045,CUST0290,5,Good Value For Money.,30-05-2024
REV00048,ORD00052,CUST0199,5,"Loved It, Will Buy Again.",15-06-2023
REV00049,ORD00414,CUST0186,4,Good Value For Money.,06-24-2024
REV00050,ORD00585,CUST0180,4,"Loved It, Will Buy Again.",2023-11-04
REV00051,ORD00755,CUST0192,5,"Loved It, Will Buy Again.",04-01-2024
REV00052,ORD00744,CUST0240,5,Excellent Quality And Fast Delivery.,24-12-2024
REV00053,ORD00783,CUST0162,4,Excellent Quality And Fast Delivery.,02-15-2024
REV00054,ORD00542,CUST0185,5,Excellent Quality And Fast Delivery.,06-25-2024
REV00055,ORD00844,CUST0181,2,,2024-12-11
REV00056,ORD00787,CUST0244,2,,07-02-2024
REV00057,ORD00207,CUST0091,4,"Great Product, Very Satisfied!",29-08-2023
REV00058,ORD00403,CUST0209,3,Good Value For Money.,10-09-2024
REV00059,ORD00623,CUST0220,5,Excellent Quality And Fast Delivery.,12-02-2023
REV00060,ORD00748,CUST0217,2,"Poor Quality, Waste Of Money.",29-11-2024
REV00061,ORD00641,CUST0285,5,"Loved It, Will Buy Again.",09-01-2024
REV00062,ORD00131,CUST0261,2,"Poor Quality, Waste Of Money.",2023-03-20
REV00063,ORD00203,CUST0036,4,,03-05-2024
REV00064,ORD00805,CUST0187,5,Excellent Quality And Fast Delivery.,03-03-2023
REV00065,ORD00334,CUST0023,4,Excellent Quality And Fast Delivery.,03-18-2023
REV00066,ORD00236,CUST0023,4,"Loved It, Will Buy Again.",2024-05-18
REV00067,ORD00286,CUST0106,5,Excellent Quality And Fast Delivery.,23-09-2024
REV00068,ORD00554,CUST0157,3,Good Value For Money.,13-08-2024
REV00069,ORD00879,CUST0112,1,"Poor Quality, Waste Of Money.",2024-03-11
REV00070,ORD00523,CUST0265,4,,31-01-2023
REV00071,ORD00856,CUST0051,5,"Loved It, Will Buy Again.",2024-07-16
REV00072,ORD00277,CUST0011,1,"Poor Quality, Waste Of Money.",2024-05-22
REV00073,ORD00460,CUST0055,3,"Loved It, Will Buy Again.",04-06-2024
REV00074,ORD00041,CUST0117,1,"Not As Described, Very Disappointed.",07-18-2023
REV00075,ORD00517,CUST0187,3,Good Value For Money.,26-10-2023
REV00076,ORD00162,CUST0040,1,"Not As Described, Very Disappointed.",17-09-2023
REV00077,ORD00121,CUST0174,5,,27-03-2024
REV00078,ORD00230,CUST0090,5,Good Value For Money.,2023-09-05
REV00079,ORD00588,CUST0222,5,Excellent Quality And Fast Delivery.,12-02-2024
REV00080,ORD00541,CUST0054,2,Product Was Damaged On Arrival.,19-09-2024
REV00081,ORD00421,CUST0233,1,,05-11-2023
REV00082,ORD00327,CUST0186,5,Excellent Quality And Fast Delivery.,2024-07-07
REV00083,ORD00281,CUST0191,4,,2023-12-23
REV00084,ORD00443,CUST0287,4,,03-16-2024
REV00085,ORD00192,CUST0233,5,"Loved It, Will Buy Again.",09-04-2024
REV00086,ORD00152,CUST0009,5,Good Value For Money.,15-05-2024
REV00087,ORD00732,CUST0120,5,,01-01-2023
REV00088,ORD00882,CUST0180,4,"Great Product, Very Satisfied!",01-08-2024
REV00089,ORD00173,CUST0017,1,"Not As Described, Very Disappointed.",16-04-2023
REV00090,ORD00068,CUST0084,5,"Great Product, Very Satisfied!",16-01-2024
REV00091,ORD00171,CUST0282,,,2024-08-09
REV00092,ORD00205,CUST0206,5,Excellent Quality And Fast Delivery.,17-07-2023
REV00093,ORD00762,CUST0076,,Excellent Quality And Fast Delivery.,2024-01-02
REV00094,ORD00745,CUST0091,3,Excellent Quality And Fast Delivery.,06-12-2023
REV00095,ORD00504,CUST0083,1,Product Was Damaged On Arrival.,12-12-2023
REV00096,ORD00703,CUST0284,4,"Great Product, Very Satisfied!",31-05-2024
REV00097,ORD00761,CUST0186,5,Excellent Quality And Fast Delivery.,09-09-2023
REV00098,ORD00815,CUST0243,1,"Poor Quality, Waste Of Money.",06-17-2023
REV00099,ORD00015,CUST0102,1,Product Was Damaged On Arrival.,31-07-2024
REV00100,ORD00368,CUST0200,3,Excellent Quality And Fast Delivery.,2023-10-04
REV00101,ORD00337,CUST0143,4,,09-04-2024
REV00102,ORD00002,CUST0048,2,,2023-02-27
REV00103,ORD00214,CUST0268,1,"Not As Described, Very Disappointed.",03-19-2023
REV00104,ORD00780,CUST0022,5,Good Value For Money.,2023-03-09
REV00105,ORD00224,CUST0213,5,Excellent Quality And Fast Delivery.,2024-10-18
REV00106,ORD00003,CUST0167,1,Delivery Was Late And Packaging Was Bad.,11-04-2023
REV00107,ORD00063,CUST0028,4,"Loved It, Will Buy Again.",04-13-2023
REV00108,ORD00022,CUST0044,2,"Not As Described, Very Disappointed.",09-03-2024
REV00109,ORD00019,CUST0049,5,Good Value For Money.,10-06-2024
REV00110,ORD00562,CUST0085,4,"Loved It, Will Buy Again.",2024-12-19
REV00111,ORD00532,CUST0200,2,Product Was Damaged On Arrival.,2023-01-28
REV00112,ORD00386,CUST0048,1,,21-05-2023
REV00113,ORD00255,CUST0232,3,Excellent Quality And Fast Delivery.,29-12-2023
REV00114,ORD00861,CUST0273,,Good Value For Money.,03-08-2023
REV00115,ORD00808,CUST0072,1,,2024-11-13
REV00116,ORD00814,CUST0082,5,"Loved It, Will Buy Again.",15-10-2024
REV00117,ORD00413,CUST0028,4,"Loved It, Will Buy Again.",10-12-2024
REV00118,ORD00465,CUST0196,1,"Not As Described, Very Disappointed.",30-08-2023
REV00119,ORD00246,CUST0017,5,Good Value For Money.,23-04-2023
REV00120,ORD00608,CUST0266,5,"Great Product, Very Satisfied!",2024-05-19
REV00121,ORD00114,CUST0053,5,"Loved It, Will Buy Again.",23-07-2023
REV00122,ORD00627,CUST0216,4,Excellent Quality And Fast Delivery.,16-03-2024
REV00123,ORD00005,CUST0296,1,"Poor Quality, Waste Of Money.",19-06-2023
REV00124,ORD00004,CUST0296,5,,2023-10-09
REV00125,ORD00529,CUST0144,5,Good Value For Money.,03-01-2024
REV00126,ORD00534,CUST0015,5,,12-17-2024
REV00127,ORD00864,CUST0215,2,"Not As Described, Very Disappointed.",04-06-2024
REV00128,ORD00582,CUST0217,2,Delivery Was Late And Packaging Was Bad.,22-06-2023
REV00129,ORD00093,CUST0212,4,Excellent Quality And Fast Delivery.,23-11-2023
REV00130,ORD00125,CUST0048,1,,26-06-2023
REV00131,ORD00259,CUST0071,2,Product Was Damaged On Arrival.,12-28-2023
REV00132,ORD00122,CUST0026,4,Good Value For Money.,13-07-2023
REV00133,ORD00416,CUST0121,4,"Great Product, Very Satisfied!",16-06-2023
REV00134,ORD00795,CUST0046,4,"Great Product, Very Satisfied!",2024-08-31
REV00135,ORD00024,CUST0057,1,,06-24-2023
REV00136,ORD00594,CUST0040,3,Excellent Quality And Fast Delivery.,2023-12-17
REV00137,ORD00095,CUST0131,2,Delivery Was Late And Packaging Was Bad.,2023-10-19
REV00138,ORD00394,CUST0078,3,Excellent Quality And Fast Delivery.,28-03-2023
REV00139,ORD00773,CUST0258,1,"Poor Quality, Waste Of Money.",01-07-2023
REV00140,ORD00760,CUST0127,4,Good Value For Money.,29-08-2024
REV00141,ORD00643,CUST0146,5,"Great Product, Very Satisfied!",22-01-2023
REV00142,ORD00156,CUST0218,5,"Loved It, Will Buy Again.",10-15-2023
REV00143,ORD00241,CUST0118,3,"Loved It, Will Buy Again.",22-03-2024
REV00144,ORD00143,CUST0163,5,Good Value For Money.,2023-12-29
REV00145,ORD00702,CUST0035,1,,24-07-2023
REV00146,ORD00507,CUST0108,5,"Great Product, Very Satisfied!",31-05-2023
REV00147,ORD00846,CUST0111,5,"Great Product, Very Satisfied!",07-22-2023
REV00148,ORD00877,CUST0128,3,"Great Product, Very Satisfied!",23-09-2023
REV00149,ORD00596,CUST0005,5,"Great Product, Very Satisfied!",2023-07-24
REV00150,ORD00690,CUST0057,2,"Poor Quality, Waste Of Money.",30-04-2023
REV00151,ORD00545,CUST0270,5,Excellent Quality And Fast Delivery.,02-02-2024
REV00152,ORD00592,CUST0244,5,"Loved It, Will Buy Again.",08-03-2024
REV00153,ORD00807,CUST0152,2,,16-02-2023
REV00154,ORD00471,CUST0189,2,Product Was Damaged On Arrival.,04-13-2023
REV00155,ORD00734,CUST0041,1,Product Was Damaged On Arrival.,22-09-2024
REV00156,ORD00633,CUST0287,4,Good Value For Money.,22-06-2023
REV00157,ORD00046,CUST0061,1,Delivery Was Late And Packaging Was Bad.,03-21-2023
REV00158,ORD00398,CUST0159,1,"Not As Described, Very Disappointed.",10-12-2023
REV00159,ORD00813,CUST0027,2,,12-01-2023
REV00160,ORD00555,CUST0251,4,Good Value For Money.,08-19-2023
REV00161,ORD00345,CUST0254,1,Delivery Was Late And Packaging Was Bad.,12-05-2024
REV00162,ORD00855,CUST0171,4,Excellent Quality And Fast Delivery.,2023-09-30
REV00163,ORD00557,CUST0232,5,"Great Product, Very Satisfied!",14-12-2023
REV00164,ORD00085,CUST0242,5,Good Value For Money.,02-10-2023
REV00165,ORD00561,CUST0024,3,"Loved It, Will Buy Again.",2024-08-27
REV00166,ORD00436,CUST0015,1,,21-03-2023
REV00167,ORD00492,CUST0086,5,"Loved It, Will Buy Again.",10-25-2024
REV00168,ORD00265,CUST0287,5,"Great Product, Very Satisfied!",19-06-2024
REV00169,ORD00743,CUST0282,4,Excellent Quality And Fast Delivery.,2024-01-20
REV00170,ORD00251,CUST0220,5,"Loved It, Will Buy Again.",12-26-2023
REV00171,ORD00042,CUST0160,4,"Loved It, Will Buy Again.",02-02-2024
REV00172,ORD00853,CUST0139,5,,10-03-2023
REV00173,ORD00766,CUST0257,2,Product Was Damaged On Arrival.,2024-09-15
REV00174,ORD00612,CUST0116,3,Excellent Quality And Fast Delivery.,2023-06-20
REV00175,ORD00604,CUST0034,3,,04-10-2024
REV00176,ORD00528,CUST0284,3,Good Value For Money.,2024-03-14
REV00177,ORD00284,CUST0079,4,"Great Product, Very Satisfied!",10-01-2023
REV00178,ORD00701,CUST0123,5,,05-09-2024
REV00179,ORD00225,CUST0125,,Excellent Quality And Fast Delivery.,2024-12-18
REV00180,ORD00256,CUST0007,1,"Not As Described, Very Disappointed.",01-05-2024
REV00181,ORD00445,CUST0272,,,06-04-2024
REV00182,ORD00769,CUST0204,4,Excellent Quality And Fast Delivery.,2024-09-04
REV00183,ORD00100,CUST0237,5,"Loved It, Will Buy Again.",29-07-2023
REV00184,ORD00731,CUST0300,5,Excellent Quality And Fast Delivery.,05-30-2024
REV00185,ORD00457,CUST0093,2,Product Was Damaged On Arrival.,14-10-2024
REV00186,ORD00737,CUST0021,3,Good Value For Money.,05-01-2023
REV00187,ORD00099,CUST0247,3,Good Value For Money.,2024-12-17
REV00188,ORD00536,CUST0133,5,"Loved It, Will Buy Again.",02-21-2024
REV00189,ORD00857,CUST0064,4,Excellent Quality And Fast Delivery.,16-02-2024
REV00190,ORD00326,CUST0060,5,"Great Product, Very Satisfied!",17-08-2024
REV00191,ORD00764,CUST0197,5,,03-07-2024
REV00192,ORD00679,CUST0182,2,Product Was Damaged On Arrival.,27-11-2023
REV00193,ORD00619,CUST0034,4,"Loved It, Will Buy Again.",01-07-2023
REV00194,ORD00569,CUST0132,4,,26-10-2023
REV00195,ORD00662,CUST0118,1,"Not As Described, Very Disappointed.",04-12-2024
REV00196,ORD00379,CUST0285,1,"Not As Described, Very Disappointed.",2024-10-17
REV00197,ORD00876,CUST0088,1,"Poor Quality, Waste Of Money.",03-04-2024
REV00198,ORD00338,CUST0124,3,"Loved It, Will Buy Again.",12-15-2023
REV00199,ORD00514,CUST0053,1,Product Was Damaged On Arrival.,27-06-2024
REV00200,ORD00145,CUST0262,4,Excellent Quality And Fast Delivery.,12-10-2023
REV00201,ORD00898,CUST0262,3,Excellent Quality And Fast Delivery.,03-19-2023
REV00202,ORD00317,CUST0084,5,,01-06-2023
REV00203,ORD00154,CUST0234,2,"Poor Quality, Waste Of Money.",2023-12-18
REV00204,ORD00792,CUST0074,3,"Loved It, Will Buy Again.",17-08-2024
REV00205,ORD00194,CUST0032,5,,2024-04-04
REV00206,ORD00652,CUST0028,3,"Loved It, Will Buy Again.",06-09-2023
REV00207,ORD00267,CUST0108,5,Good Value For Money.,2023-07-28
REV00208,ORD00681,CUST0017,,,03-09-2023
REV00209,ORD00013,CUST0293,4,"Loved It, Will Buy Again.",29-02-2024
REV00210,ORD00071,CUST0088,5,Good Value For Money.,2023-12-01
REV00211,ORD00372,CUST0282,5,"Great Product, Very Satisfied!",06-11-2024
REV00212,ORD00209,CUST0225,5,Excellent Quality And Fast Delivery.,2023-10-10
REV00213,ORD00332,CUST0248,3,"Loved It, Will Buy Again.",2024-08-29
REV00214,ORD00245,CUST0100,5,,23-04-2023
REV00215,ORD00285,CUST0163,5,"Loved It, Will Buy Again.",03-02-2023
REV00216,ORD00423,CUST0157,3,Excellent Quality And Fast Delivery.,12-10-2024
REV00217,ORD00820,CUST0075,2,"Not As Described, Very Disappointed.",15-10-2023
REV00218,ORD00031,CUST0185,4,Good Value For Money.,28-10-2024
REV00219,ORD00458,CUST0049,2,"Poor Quality, Waste Of Money.",2024-05-11
REV00220,ORD00330,CUST0117,,Excellent Quality And Fast Delivery.,08-11-2024
REV00221,ORD00385,CUST0294,4,Excellent Quality And Fast Delivery.,2024-02-22
REV00222,ORD00589,CUST0134,5,"Great Product, Very Satisfied!",08-17-2023
REV00223,ORD00899,CUST0135,,"Not As Described, Very Disappointed.",09-30-2023
REV00224,ORD00727,CUST0256,2,Product Was Damaged On Arrival.,2024-04-04
REV00225,ORD00257,CUST0123,4,Good Value For Money.,07-12-2024
REV00226,ORD00291,CUST0290,3,Good Value For Money.,11-03-2024
REV00227,ORD00752,CUST0037,5,"Great Product, Very Satisfied!",12-01-2024
REV00228,ORD00280,CUST0068,5,"Great Product, Very Satisfied!",19-12-2024
REV00229,ORD00415,CUST0202,5,,08-06-2024
REV00230,ORD00817,CUST0202,5,Excellent Quality And Fast Delivery.,12-30-2024
REV00231,ORD00453,CUST0288,5,Excellent Quality And Fast Delivery.,08-25-2023
REV00232,ORD00803,CUST0161,3,"Loved It, Will Buy Again.",10-01-2024
REV00233,ORD00055,CUST0225,4,,11-14-2023
REV00234,ORD00098,CUST0174,5,Excellent Quality And Fast Delivery.,20-09-2023
REV00235,ORD00060,CUST0021,2,"Not As Described, Very Disappointed.",26-09-2024
REV00236,ORD00564,CUST0028,1,Delivery Was Late And Packaging Was Bad.,04-09-2024
REV00237,ORD00142,CUST0200,1,"Not As Described, Very Disappointed.",27-08-2024
REV00238,ORD00274,CUST0058,5,,11-09-2023
REV00239,ORD00660,CUST0194,4,,02-14-2024
REV00240,ORD00017,CUST0221,5,"Loved It, Will Buy Again.",2024-03-20
REV00241,ORD00757,CUST0064,4,"Great Product, Very Satisfied!",20-02-2023
REV00242,ORD00553,CUST0074,5,Excellent Quality And Fast Delivery.,24-06-2024
REV00243,ORD00094,CUST0109,1,"Not As Described, Very Disappointed.",2023-01-31
REV00244,ORD00520,CUST0137,3,Good Value For Money.,11-05-2024
REV00245,ORD00759,CUST0189,2,"Not As Described, Very Disappointed.",10-03-2023
REV00246,ORD00664,CUST0255,1,Product Was Damaged On Arrival.,2024-07-31
REV00247,ORD00228,CUST0146,4,Good Value For Money.,08-11-2024
REV00248,ORD00526,CUST0078,2,"Not As Described, Very Disappointed.",26-04-2024
REV00249,ORD00682,CUST0294,1,,12-02-2023
REV00250,ORD00611,CUST0172,2,"Not As Described, Very Disappointed.",15-12-2024
REV00251,ORD00296,CUST0276,4,"Great Product, Very Satisfied!",26-10-2024
REV00252,ORD00799,CUST0072,3,,2023-08-26
REV00253,ORD00153,CUST0070,2,Delivery Was Late And Packaging Was Bad.,15-04-2023
REV00254,ORD00401,CUST0022,2,"Not As Described, Very Disappointed.",2024-07-12
REV00255,ORD00723,CUST0055,5,Good Value For Money.,2023-01-05
REV00256,ORD00035,CUST0012,2,"Poor Quality, Waste Of Money.",04-04-2024
REV00257,ORD00544,CUST0067,2,Product Was Damaged On Arrival.,12-08-2023
REV00258,ORD00355,CUST0207,4,Good Value For Money.,11-09-2023
REV00259,ORD00881,CUST0236,5,Good Value For Money.,2023-08-19
REV00260,ORD00072,CUST0092,5,Excellent Quality And Fast Delivery.,2024-02-19
REV00261,ORD00509,CUST0033,3,"Great Product, Very Satisfied!",19-10-2024
REV00262,ORD00269,CUST0177,3,"Loved It, Will Buy Again.",08-20-2023
REV00263,ORD00333,CUST0263,3,,16-02-2023
REV00264,ORD00140,CUST0047,5,Good Value For Money.,2024-08-20
REV00265,ORD00479,CUST0258,5,Excellent Quality And Fast Delivery.,2024-04-15
REV00266,ORD00233,CUST0186,4,Good Value For Money.,14-11-2023
REV00267,ORD00801,CUST0149,5,Good Value For Money.,10-05-2023
